pl_name,hostname,No.of stars,No.of Planets,No.of Moons,Discovery year,Discovery facility,Discovery Instrument,Orbital Period,Stellar effective Temparature,Stellar radius,Stellar mass,Stellar surface gravity,distance,Gaia Magnitude,releasedate
11 Com b,11 Com,2,1,0,2007,Xinglong Station,Coude Echelle Spectrograph,,,,2.6,,93.1846,4.44038,2014-07-23
11 UMi b,11 UMi,1,1,0,2009,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,516.21997,4213.0,29.79,2.78,1.93,125.321,4.56216,2018-09-06
14 And b,14 And,1,1,0,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,186.76,4888.0,11.55,1.78,2.55,75.4392,4.91781,2023-09-19
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,HIRES Spectrometer,1773.4,,,,,17.9323,6.383,2014-05-14
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,Multiple Instruments,799.45,5711.97,1.16,0.98,4.3,21.1397,6.06428,2021-09-20
17 Sco b,17 Sco,1,1,0,2020,Lick Observatory,Hamilton Echelle Spectrograph,578.38,4157.0,25.92,1.22,1.7,124.953,4.75429,2021-10-25
18 Del b,18 Del,2,1,0,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,993.3,4979.0,8.5,2.3,2.82,76.222,5.27476,2014-05-14
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,NIRI Camera,,4060.0,,0.85,,139.135,12.0572,2015-04-01
24 Boo b,24 Boo,1,1,0,2018,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,30.3506,4893.0,10.64,0.99,2.42,95.9863,5.3339,2018-04-26
24 Sex b,24 Sex,1,2,0,2010,Lick Observatory,Hamilton Echelle Spectrograph,452.8,5098.0,4.9,1.54,3.5,72.0691,6.20374,2014-05-14
24 Sex c,24 Sex,1,2,0,2010,Lick Observatory,Hamilton Echelle Spectrograph,883.0,5098.0,4.9,1.54,3.5,72.0691,6.20374,2014-05-14
2M0437 b,2MASS J04372171+2651014,1,1,0,2021,Subaru Telescope,Infrared Camera and Spectrograph (IRCS),,3100.0,0.84,0.17,4.5,128.484,14.3374,2021-12-13
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,2013,Paranal Observatory,NACO Camera,,,,0.19,,,,2020-09-03
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,2013,W. M. Keck Observatory,NIRC2 Camera,,3309.0,0.37,0.35,4.86,33.8281,12.9025,2015-09-03
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,2015,Cerro Tololo Inter-American Observatory,SIMON Near-Infrared Spectroimager,,3064.0,0.28,0.11,4.59,,15.0123,2015-05-14
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,2018,Mauna Kea Observatory,WIRCam,,,,0.05,,66.0613,15.6894,2024-05-13
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,,,,,,117.435,16.9967,2024-05-08
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,2010,Hubble Space Telescope,WFPC2 Camera,,,,0.02,,,18.9668,2014-05-14
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,,,,,,,18.3299,2024-05-08
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,,,,,,100.862,14.818,2024-05-07
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,2004,Paranal Observatory,NACO Camera,,,,0.02,,64.308,17.4076,2016-02-25
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,2015,Kepler,Kepler CCD Array,406.0,29564.0,0.2,0.48,5.51,396.332,12.1376,2022-04-19
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,,,,,,34.1154,10.8133,2024-05-07
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,2016,W. M. Keck Observatory,NIRC2 Camera,,4045.0,,0.6,,69.5737,11.9484,2016-11-10
30 Ari B b,30 Ari B,4,1,0,2009,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,335.1,6300.0,1.13,1.16,4.5,44.657,6.96085,2014-05-14
4 UMa b,4 UMa,1,1,0,2006,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,270.27,4415.0,18.11,1.23,1.8,73.4603,4.23773,2023-09-19
42 Dra b,42 Dra,2,1,0,2008,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,479.1,4200.0,22.03,0.98,1.71,90.6545,4.43216,2014-05-14
47 UMa b,47 UMa,1,3,0,1996,Lick Observatory,Hamilton Echelle Spectrograph,1076.6,5882.0,,1.06,,13.7967,4.87837,2016-01-28
47 UMa c,47 UMa,1,3,0,2001,Lick Observatory,Hamilton Echelle Spectrograph,2391.0,5872.0,1.21,1.06,4.3,13.7967,4.87837,2014-05-14
47 UMa d,47 UMa,1,3,0,2009,Lick Observatory,Hamilton Echelle Spectrograph,14002.0,5872.0,1.21,1.06,4.3,13.7967,4.87837,2014-05-14
51 Eri b,51 Eri,3,1,0,2015,Gemini Observatory,Gemini Planet Imager,14965.0,7295.0,1.49,1.65,4.31,29.7575,5.15806,2015-12-03
51 Peg b,51 Peg,1,1,0,1995,Haute-Provence Observatory,ELODIE Spectrograph,4.23077,,,,,15.4614,5.28647,2014-08-21
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,Hamilton Echelle Spectrograph,14.65162,5250.0,0.96,0.9,4.42,12.5855,5.72973,2014-05-16
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,High Resolution Spectrograph,44.3989,5172.0,0.94,0.91,4.43,12.5855,5.72973,2021-02-11
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,Hamilton Echelle Spectrograph,4867.0,5250.0,0.96,0.9,4.42,12.5855,5.72973,2014-08-21
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,High Resolution Spectrograph,0.7365474,5172.0,0.94,0.91,4.43,12.5855,5.72973,2021-02-11
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,Multiple Instruments,259.88,5172.0,0.94,0.91,4.43,12.5855,5.72973,2021-02-11
