sy_snum,sy_pnum,pl_orbper,pl_radj,pl_massj,pl_orbeccen,st_teff,st_rad,st_mass
2,1,,,,,,,2.60
2,1,326.03000000,,,0.231000,4742.00,19.00,2.70
2,1,323.21000000,,,0.238000,4874.00,13.76,2.09
1,1,516.21997000,,,0.080000,4213.00,29.79,2.78
1,1,,,,,,,1.70
1,1,516.22000000,,,0.080000,4340.00,24.08,1.80
1,1,186.76000000,,,0.000000,4888.00,11.55,1.78
1,1,,,,,,,1.20
1,1,185.84000000,,,0.000000,4813.00,11.00,2.20
1,2,1773.40000000,,,0.369000,,,
1,2,1766.00000000,,,0.359000,5280.00,1.00,0.91
1,2,1765.03890000,,8.05300,0.373000,,,0.91
1,2,1773.40002000,,,0.370000,5338.00,0.93,0.90
1,2,1796.40000000,,,0.338000,5255.00,,0.90
1,2,1766.41000000,,,0.367400,5314.94,1.00,0.97
1,2,1724.00000000,,,0.370000,,,1.00
1,2,,,,0.357000,,,0.90
3,1,799.45000000,,,0.683200,5711.97,1.16,0.98
3,1,798.50000000,,,0.681000,5674.00,,0.99
3,1,800.80000000,,,0.634000,5760.00,,1.00
3,1,799.50000000,,,0.689000,5747.00,1.13,1.03
3,1,799.50000000,,,0.689000,,,
3,1,798.50000000,,,0.680000,5750.00,1.13,1.08
1,1,578.38000000,,,0.060000,4157.00,25.92,1.22
2,1,993.30000000,,,0.080000,4979.00,8.50,2.30
2,1,982.85000000,,,0.024000,4980.00,8.80,2.10
2,1,,,,,,,2.10
1,1,,,12.00000,,4060.00,,0.85
1,1,,,8.00000,,4060.00,,0.85
1,1,,,8.00000,,3993.00,1.31,0.62
1,1,,1.664,8.00000,,4060.00,1.35,0.85
1,1,30.35060000,,,0.042000,4893.00,10.64,0.99
1,1,30.33000000,,,0.032000,4816.00,12.19,1.05
1,2,452.80000000,,,0.090000,5098.00,4.90,1.54
1,2,883.00000000,,,0.290000,5098.00,4.90,1.54
1,1,,,4.00000,,3100.00,0.84,0.17
2,1,,,13.00000,,,,0.19
1,1,,1.000,,,3309.00,0.37,0.35
1,1,,,24.50000,,3530.00,,0.40
1,1,,1.440,13.90000,,3064.00,0.28,0.11
2,1,,,11.60000,,,,0.05
1,1,,,18.00000,,,,
1,1,,,7.50000,,,,0.02
1,1,,,28.00000,,,,
1,1,,,20.00000,,,,
1,1,,,5.00000,,,,0.02
1,1,,,4.00000,,2825.00,0.22,0.19
2,3,406.00000000,,,0.330000,29564.00,0.20,0.48
2,3,416.00000000,,1.90000,,,,0.48
1,1,,,12.00000,,,,
1,1,,,12.50000,,4045.00,,0.60
4,1,335.10000000,,,0.289000,6300.00,1.13,1.16
4,1,345.40000000,,,0.180000,,1.13,1.16
4,1,335.10001000,,,0.290000,6331.00,1.41,1.93
1,1,270.27000000,,,0.453000,4415.00,18.11,1.23
1,1,269.30000000,,,0.432000,4415.00,18.11,1.23
2,1,479.10000000,,,0.380000,4200.00,22.03,0.98
1,3,1076.60000000,,,0.012000,5882.00,,1.06
1,3,1078.00000000,,,0.032000,5872.00,1.21,1.06
1,3,1100.80000000,,,0.097000,,,
1,3,1083.20000000,,,0.049000,,,
1,3,1076.60000000,,,0.016000,5829.16,1.14,1.01
1,3,2391.00000000,,,0.098000,5872.00,1.21,1.06
1,3,7586.00000000,,,0.005000,,,
1,3,2287.00000000,,,0.179000,5829.16,1.14,1.01
1,3,14002.00000000,,,0.160000,5872.00,1.21,1.06
1,3,19000.00000000,,,0.380000,5829.16,1.14,1.01
3,1,14965.00000000,,,0.210000,7295.00,1.49,1.65
3,1,11688.00000000,,,0.450000,7295.00,1.49,1.65
3,1,,,2.00000,,,,1.75
1,1,4.23077000,,,0.000000,,,
1,1,4.22930000,,,0.000000,5773.00,1.29,
1,1,4.23079690,,,0.004200,5760.76,1.19,1.07
1,1,4.23100000,,0.46000,0.000000,,,1.04
1,1,4.23078500,,,0.013000,5758.00,1.18,1.03
2,5,14.65162000,,,0.014000,5250.00,0.96,0.90
2,5,14.65126000,,,0.015900,5250.00,0.96,0.90
2,5,14.65300000,,,0.020000,,,0.95
2,5,14.67000000,,,0.019700,,,0.95
2,5,14.64700000,,,0.030000,,,
2,5,14.65171000,,,0.004800,5317.89,0.96,0.97
2,5,14.46531400,,0.84000,0.002300,5250.00,0.96,0.90
2,5,14.65160000,,,0.000000,5172.00,0.94,0.91
2,5,14.65152000,,0.83060,0.003400,,,0.95
2,5,14.64800000,,,0.051000,5200.00,,0.85
2,5,14.60000000,,0.80000,0.000000,,,
2,5,14.65100000,,,0.004000,5250.00,0.96,0.90
2,5,44.39890000,,,0.030000,5172.00,0.94,0.91
2,5,44.37300000,,0.17840,0.072000,5250.00,0.96,0.90
2,5,44.37870000,,,0.053000,5250.00,0.96,0.90
2,5,43.93000000,,,0.440000,,,0.95
2,5,44.38270000,,,0.048000,5317.89,0.96,0.97
2,5,44.38000000,,,0.070000,5250.00,0.96,0.90
2,5,44.34460000,,,0.086000,5250.00,0.96,0.90
2,5,44.41750000,,0.17140,0.020000,,,0.95
2,5,4867.00000000,,3.86000,0.026900,5250.00,0.96,0.90
2,5,5370.00000000,,,0.063000,5250.00,0.96,0.90
2,5,4545.00000000,,,0.240000,,,
